target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd
k117_83659_2_T-CN	0.09766930950682597	0.12514561673335697	0.19536502550497367	0.023630239387393465	0.007836039263966525	0.10545613425794245	0.035075677412050636	0.1640336506688315	0.3405780512479603	0.007803626780819907	0.2620320419824045	0.07415276665523356	0.17167316044789258	0.11319385830673961	0.0703375114948533	0.08199584748954333	0.14825079664602467	0.06651398540949482	0.05870106340250464	0.101511563890692	0.08276461808101127	0.4035610143033199	0.27276803360511953	0.05787975919080811	0.13375802050576638
k117_95800_2_T-CN	0.0060904704792902825	0	0.07918681950817315	0.05218774484792246	0.027486019820004853	0.34706887854033164	0.12151399161671106	0.20092331446553377	0.09764502478182749	0.225061367135044	0.03658167463509811	0.1034321169456705	0.012165009583147608	0.06693454021541431	0	0	0.09427094728117413	0.07624419724887506	0.0030504046047589747	0	0.006144098285489919	0.2840257183169653	0.3067747032969368	0.0032225630117152988	0.006133009673845183
k117_133100_2_T-CN	0.020586239701217337	0.03091119822911101	0.15956492525930208	0.1400811054459321	0.04129101132451734	0.11834089358917117	0.025670391217921435	0.09260940425214473	0.11345379032537983	0.025700136169305415	0.12880079168876796	0.010282593783615606	0.10793640421652553	0.010283803897571204	0.025738511278866984	0.02057460379811419	0.07195159075906304	0.025771101357922346	0.02577648171549097	0.01028658197813711	0.010383752821971893	0.2787177742893778	0.17966455350005106	0.038123752824941876	0.08810260760250664
k117_173867_1_T-CN	0.42657590444710003	0.5272716002892952	1.005371283113281	0.7964836140322635	0.34968325215450624	0.7973094547841186	0.5254510610893898	0.5488147142058245	1.0667426801422955	0.3667600815352633	0.7500864828326101	0.3964951754567842	0.622356713674009	0.17788792699415723	0.32278557469247177	0.2817516887140691	0.6741634421387742	0.28233064019562165	0.5499165577898467	0.45596095356016536	0.4003958518334029	1.0267422500861063	1.0433377285395822	0.6084301813874178	0.7993464682884496
k117_220861_2_T-CN	0	0.011634631555679282	0.0697453141052756	0.011716660362915925	0	0.01161970368212514	0.011594460033427848	0.03485715076712669	0.011646203476582549	0.023215789672939222	0.04654001939687482	0.06966457288399573	0.08125212650744007	0.01161212856767415	0	0	0.05803238421341097	0.03491984233998478	0	0	0	0.23312505195191782	0.046370565712870314	0.012299448828046722	0.023407653588509113
k117_256875_2_T-CN	0.04030976126466689	0.04035132331449461	0.048378252558572664	0.02031790814378484	0.008085161899526155	0.0886590107537872	0.04825440013912168	0.06447565459815342	0.08482206000285557	0.04428445428942164	0.020176308987084456	0.024161123543582335	0.04428274442189136	0	0.020159354209748414	0.02417218625414283	0.07648198613096936	0.06055463989592736	0.008075637624159597	0	0.020332348372502765	0.14553471451333597	0.14071992485119605	0.05118845755025226	0.05276869884114772
k117_315452_4_T-CN	0.027058016115224372	0.13050486189439192	0	0	0	0	0	0	0.04436648943460019	0	0.024624348887235352	0	0.029479229571860336	0	0	0.007375287869429822	0.00491279443076495	0	0	0.004916514490432376	0	0.3552381744029224	0.23553303219235716	0	0.009908001518945657
k117_520075_1_T-CN	0.030319950864292927	0.042491697855524334	0.1091665785995618	0.08558256265086416	0.01824434359066989	0.10912417371039262	0.024197133982805947	0.030310565884457994	0.07899164097160338	0.030281464790790292	0.09712699700217356	0.03634673367860647	0.10295300501563835	0.00605850186139521	0.036392016816902364	0.018181687921594393	0.08477774389437429	0.018219048177383367	0.03644570371251158	0.024240554052827455	0.006117384814683442	0.29191310853109714	0.20564337837881622	0.02566841494548882	0.10991419945908629
k117_59200_1_T-NP	0.09663774601315836	0.08627929018818342	0.08097770551548851	0	0	0.27156161414404817	0.10682536210573972	0.1958266897029589	0.1779644576196884	0.20607273979350546	0.07843823493855306	0.11480304145677198	0.07825244928485398	0.05218934187718719	0.00522482139069135	0.028713901648959927	0.03912295564949054	0.018310029691377787	0.0026162646235573226	0.005220344037593926	0.005269657331000717	0.23050566934571648	0.22924774060295436	0.069098027123858	0.12361345153482342
k117_81519_2_T-NP	1.2043871309762533	1.1900119792520285	0.4025568465136712	0.05661741920335212	0.0062583132376645405	0.6613093102310147	1.1018627790156934	0.8577822336429388	0.7190944428493923	0	0.6184512644685378	0.7761287985733752	0.8257646605741751	0.20262774681847512	1.1578414597264275	1.347153252714108	0.8288115007123392	0.8874483422421188	1.0907892009706577	1.131903723641255	0.8593078132303653	0.8573995199305433	0.9740930918206987	0.9212204625570566	0.8231953342536091
