OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV720	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Podoscyphaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV721	Ascomycota	Sordariomycetes	Savoryellales	Savoryellales_fam_Incertae_sedis	Savoryellales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV722	Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Bauerago	na	na	Bauerago	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV723	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Bimuria	na	na	Bimuria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV724	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypocreaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV725	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Querciphoma	na	na	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV726	Ascomycota	Sordariomycetes	Vermiculariopsiellales	Vermiculariopsiellaceae	Vermiculariopsiella	na	na	na	na	na	na	na	na	na	na	na
ASV727	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	na	na	Diaporthe	13	Pathotroph-Saprotroph	Plant Pathogen-Soil Saprotroph	NULL	Microfungus	Possible	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV728	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiales_fam_Incertae_sedis	Operculomyces	na	na	na	na	na	na	na	na	na	na	na
ASV729	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Papiliomyces	na	na	Clavicipitaceae	9	Pathotroph-Symbiotroph	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	NULL	Microfungus	Possible	Parasitic, endophytic or epiphytic on Insecta, other fungi or Gamineae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV730	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella	na	na	Pezizella	13	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Lichen Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph	NULL	Microfungus	Possible	Syn. Hymenoscyphus among others (see e.g., Pezoloma ericae); Dark Septate Fungus	Baral HO, Krieglsteiner L. 2006. Acta Mycologica 41:11-20 ((https://doi.org/10.5586/am.2006.003)) (as a bryophyte parasite); Huhtinen S, et al. 2010. Nova Hedwigia 90:413-431 ((https://doi.org/10.1127/0029-5035/2010/0090-0413)); Bent E, et al. 2011. Applied and Environmental Microbiology 77:3351-3359 ((https://doi.org/10.1128/AEM.02575-10)) (as ectomycorrhizae); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph)
ASV731	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sporidesmium	na	na	na	na	na	na	na	na	na	na	na
ASV732	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Laburnicola	na	na	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
ASV733	Ascomycota	Lecanoromycetes	Ostropales	Ostropales_fam_Incertae_sedis	Ostropales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV734	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Arizonaphlyctidaceae	Arizonaphlyctis	na	na	Arizonaphlyctis	13	Saprotroph	Soil Saprotroph	NULL	Microfungus	Highly Probable	From soil (Letcher et al. 2008)	Letcher PM, et al. 2008. Mycological Research 112:759-782 ((https://doi.org/10.1016/j.mycres.2008.01.025))
ASV735	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	na	na	Tulasnella	13	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	NULL	Corticioid	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)
ASV736	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	na	na	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV737	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnoascaceae_gen_Incertae_sedis	na	na	Gymnoascaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	NULL	Microfungus	Probable	Keratinophilic or cellulolytic, usually encountered as isolations from soil, dung, etc. (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV738	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sphaerosporella	na	na	Sphaerosporella	13	Symbiotroph	Ectomycorrhizal	NULL	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
ASV739	Monoblepharomycota	Monoblepharomycota_cls_Incertae_sedis	Monoblepharomycota_ord_Incertae_sedis	Monoblepharomycota_fam_Incertae_sedis	Monoblepharomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV740	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolales_fam_Incertae_sedis	Basidiobolales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV741	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordycipitaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV742	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Modicella	na	na	Mortierellaceae	9	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	NULL	Microfungus	Possible	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
ASV743	Basidiomycota	Atractiellomycetes	Atractiellales	Phleogenaceae	Phleogenaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV744	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleuria	na	na	Pyronemataceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph	NULL	Gasteroid-Pezizoid	Possible	Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV745	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiellaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV746	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Goffeauzyma	na	na	na	na	na	na	na	na	na	na	na
ASV747	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Flabellascoma	na	na	Lophiostomataceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV748	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	na	na	Agaricostilbaceae	9	Saprotroph	Undefined Saprotroph	NULL	NULL	Possible	Probably saprobic, usually associated with dead palm tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV749	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Irpicaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV750	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Stolonocarpus	na	na	na	na	na	na	na	na	na	na	na
ASV751	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Phallaceae_gen_Incertae_sedis	na	na	Phallaceae	9	Saprotroph	Litter Saprotroph-Soil Saprotroph-Wood Saprotroph	NULL	Phalloid	Probable	Common name - stinkhorn; Saprobic, on soil or decaying wood, with spores dispersed by insects that are attracted to the fruit bodies by their distictive foetid smell (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV752	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylariaceae_gen_Incertae_sedis	na	na	Xylariaceae	9	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Xylarioid	Probable	Saprobes or weak pathogens, many endophytes, mainly in wood and bark, occasionally in soil and dung (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV753	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Vararia	na	na	na	na	na	na	na	na	na	na	na
ASV754	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Xenosonderhenioides	na	na	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV755	Ascomycota	Pezizomycetes	Pezizales	Pulvinulaceae	Pulvinulaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV756	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Trimorphomycetaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV757	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Coleophoma	na	na	Coleophoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV758	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Gamsylella	na	na	Gamsylella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV759	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Conoideocrella	na	na	Clavicipitaceae	9	Pathotroph-Symbiotroph	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	NULL	Microfungus	Possible	Parasitic, endophytic or epiphytic on Insecta, other fungi or Gamineae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV760	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	na	na	Sporisorium	13	Pathotroph	Plant Pathogen	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV761	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Niaceae_gen_Incertae_sedis	na	na	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	NULL	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV762	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	na	na	Glarea	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV763	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	na	na	Rhinocladiella	13	Saprotroph	Undefined Saprotroph-Wood Saprotroph	Soft Rot	Facultative Yeast	Probable	NULL	Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV764	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Pholiotina	na	na	Pholiotina	13	Saprotroph	Undefined Saprotroph	NULL	Agaricoid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV765	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiales_fam_Incertae_sedis	Leucosporidiales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV766	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Colacogloeaceae	Colacogloea	na	na	Colacogloea	13	Pathotroph	Fungal Parasite	NULL	Facultative Yeast	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV767	Basidiomycota	Agaricomycetes	Geastrales	Sphaerobolaceae	Sphaerobolus	na	na	Sphaerobolus	13	Saprotroph	Undefined Saprotroph	White Rot	Gasteroid	Probable	Common name - cannon ball fungus	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV768	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Mycothermus	na	na	na	na	na	na	na	na	na	na	na
ASV769	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	na	na	Apiotrichum	13	Saprotroph	Soil Saprotroph	NULL	Microfungus	Possible	From forest soil (Calduch et al. 2002)	Calduch M, et al. 2002. Mycologia 94:355-361 ((https://doi.org/10.1080/15572536.2003.11833241))
ASV770	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Rhamphoriaceae	Xylolentia	na	na	na	na	na	na	na	na	na	na	na
ASV771	Ascomycota	Sordariomycetes	Savoryellales	Savoryellaceae	Savoryellaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV772	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	na	na	na	na	na	na	na	na	na	na	na
ASV773	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnascella	na	na	Gymnascella	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Ericoid Mycorrhizal-Undefined Saprotroph	NULL	Microfungus	Probable	Has cellulolytic activities; can infect roots of Vaccinium (Dalpe 1989); Likely opportunistic human pathogen (Irinyi et al. 2015)	Dalpe Y. 1989. New Phytologist 113:523-527 ((https://doi.org/10.1111/j.1469-8137.1989.tb00364.x)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
ASV774	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	na	na	Malassezia	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	NULL	Facultative Yeast	Probable	A lipid-dependent fungus growing on the sebaceous areas of human skin that may cause or exacerbate several skin diseases (Pityrosporum is a synonym that has been used for the yeast forms)	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Findley K, et al. 2013. Nature 498:367-370 ((https://doi.org/10.1038/nature12171))
ASV775	Ascomycota	Sordariomycetes	Atractosporales	Atractosporales_fam_Incertae_sedis	Atractosporales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV776	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Biappendiculispora	na	na	Lophiostomataceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV777	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Stylonectria	na	na	Nectriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Possible	Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))
ASV778	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Amphisphaeria	na	na	Amphisphaeria	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Possible	On dead wood (Calduch et al. 2002)	Calduch M, et al. 2002. Mycologia 94:355-361 ((https://doi.org/10.1080/15572536.2003.11833241))
ASV779	Monoblepharomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidales_fam_Incertae_sedis	Monoblepharidales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV780	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Yunnania	na	na	Microascaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	Saprobic in soil or rotting vegetation, some species heat-tolerant and associatated with silage and compost, a few associated with humans and animals (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV781	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	na	na	na	na	na	na	na	na	na	na	na
ASV782	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces	na	na	Gaeumannomyces	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV783	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Sympodiorosea	na	na	na	na	na	na	na	na	na	na	na
ASV784	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	na	na	Phlebiopsis	13	Saprotroph	Undefined Saprotroph	White Rot	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV785	Ascomycota	Sordariomycetes	Coronophorales	Nitschkiaceae	Rhagadostoma	na	na	Rhagadostoma	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
ASV786	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	na	na	Tubaria	13	Saprotroph	Leaf Saprotroph-Wood Saprotroph	NULL	Agaricoid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV787	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Bjerkandera	na	na	Bjerkandera	13	Saprotroph	Wood Saprotroph	White Rot	Polyporoid	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
ASV788	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Simocybe	na	na	Crepidotaceae	9	Saprotroph	Wood Saprotroph	NULL	Agaricoid	Probable	NULL	Aime MC, et al. 2005. American Journal of Botany 92:74-82 ((https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.92.1.74))
ASV789	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerellaceae_gen_Incertae_sedis	na	na	Plectosphaerellaceae	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Possible	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008)); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))
ASV790	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	na	na	Magnaporthaceae	9	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	Species in this family cause rice blast and take-all; Usually necrotrophic on roots (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV791	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	na	na	Verrucaria	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
ASV792	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis	na	na	Ascodesmis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV793	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilaginaceae_gen_Incertae_sedis	na	na	Ustilaginaceae	9	Pathotroph	Plant Pathogen	NULL	Facultative Yeast-Smut	Probable	Biotrophic in living tissue of Gramineae and Cyperaceae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV794	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	na	na	Microascaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Possible	Saprobic in soil or rotting vegetation, some species heat-tolerant and associatated with silage and compost, a few associated with humans and animals (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV795	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Stromatinia	na	na	Stromatinia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV796	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	na	na	Laetisaria	13	Pathotroph	Plant Pathogen	NULL	Corticioid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV797	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Funiliomyces	na	na	Amphisphaeriaceae	9	Saprotroph	Undefined Saprotroph	NULL	NULL	Possible	Saprobes or weak parasites of leaves, stems, etc., often appearing as secondary colonizers following damage to plants by other agents (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV798	Aphelidiomycota	Aphelidiomycetes	GS16	GS16_fam_Incertae_sedis	GS16_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV799	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	na	na	Schizophyllum	13	Saprotroph	Wood Saprotroph	White Rot	NULL	Highly Probable	NULL	Ahmada SS, Miles PG. 1970. Genetical Research 15:19-28 ((https://doi.org/10.1017/S0016672300001336))
ASV800	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Monascella	na	na	Monascella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV801	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Eichleriella	na	na	Eichleriella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
