target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd	NA
k117_80965_7_L-CN	0.0309937275501661	0.031025684148478082	0	0	0.031082955747067216	0.12394350594266815	0.030918560089140925	0	0.06211308520844026	0	0.09308003879374964	0.061924064785773975	0.03095319105045335	0	0	0.09292862715481576	0.12380241965527672	0.06207971971552849	0.031046340199546895	0	0.06253326699454184	0.062166680520511414	0.09274113142574063	0	0.062420409569357634	0
k117_131563_10_L-CN	0.12679252179613404	0.12692325333468307	0.12680966200959198	0.012781811304999191	0	0.17746456532700214	0.07589101112789136	0.07605196531009459	0.27950888343798114	0	0.1269273256278404	0.07599771587344988	0.22792804318970195	0.10134221295424713	0.06341033233248138	0.0633604276055562	0	0.08888687141087034	0.07620465321706965	0.10136958967546025	0.012790895521610831	0.406909181588802	0.18969776882537856	0.05367032215874934	0.16598154362761008	0
k117_149240_1_L-CN	0.9247585013609342	0.7739559252256217	0.6822911162472612	0.41263021278095213	0.6081447863556628	0.7578067618777264	1.0586246117477598	0.9244722594759687	0.7899164097160337	0.39365904228027376	0.5311632648556365	0.8026570354025593	0.5147650250781917	0.3332176023767364	1.3647006306338385	1.181809714903635	0.9386107359734296	0.9261349490169875	0.789656913771084	0.9999228546791323	1.147009652753145	0.8362094254797051	0.9223710353755725	0.8983945230921084	1.0991419945908625	0
k117_258225_1_L-CN	0.15849065224516756	0.07932703333417691	0.14266086976079095	0.01597726413124899	0.04768407983925085	0.20598565618312747	0.158106273183107	0.11090911607722129	0.23821779838464302	0.09497368502566046	0.14279324133132046	0.23749286210453086	0.14245502699356372	0.06333888309640445	0	0.01584010690138905	0.15827013876384807	0.04761796682725197	0	0	0	0.2225284586813761	0.09484888441268928	0.1509477810714825	0.03191952762069424	0
k117_326062_1_L-CN	0.3638394103715151	0.5463218295710272	0.9703695875516604	0.3667824113608464	0.405429857570442	1.071033556787187	0.48394267965611887	0.4849690541513279	0.9114420112108083	0.22206407513246215	0.7689220596005405	0.3836599666075127	0.6257927755852526	0.12117003722790419	0.28304901968701834	0.34343188296344956	0.7064811991197857	0.32389418982014867	0.48594271616682105	0.3232073873710327	0.4486082197434524	0.9933154387516498	0.766122390038727	0.7700524483646645	1.0177240690656137	0
k117_411924_1_L-CN	1.9387565744146456	1.4060576007714536	0.3858251418589713	0.11965951008935415	0.029760276779106913	0.7120158852025618	1.4308057062527983	1.1965149625027887	0.9217846155933422	0.07903247548234629	0.7624641475658216	0.879453473287322	1.096533257425635	0.13835727655101118	1.3752396898775043	1.5422197698033253	1.0668080842635548	1.020352840005229	1.743879534612847	1.324634531752025	1.5866153381061947	1.0416225725511221	1.4207152048198566	1.3189196190075636	1.175363031252798	0
k117_7953_3_L-RA	0	0	0.07970893040602925	0.040171406958568884	0.03996380024622928	0	0	0	0.03992984049114017	0.07959699316436306	0	0.03980832736228327	0.03979695992201145	0	0	0.03982655449492104	0.03979363488919609	0	0	0	0	0.03996429462032877	0	0.04216953883901734	0.04012740615172991	0
k117_33262_11_L-RA	0	0	0	0.0892697932412642	0.08880844499162062	0	0	0	0	0.19899248291090763	0.06648574199553546	0.044231474846981415	0.044218844357790506	0.022118340128903145	0	0	0	0	0	0	0	0	0	0	0	0
k117_43618_2_L-RA	0.00477643061560779	0.009562710867681602	0.00955415261716104	0.05296572492825008	0.019160726145452396	0.057302648295411644	0.019059386356319753	0.05252447375868406	0.047861110177736504	0.3005331676839393	0.01434452652643402	0.0715731913191737	0.057242202627550726	0.19088430522204083	0.02866494475303953	0.009547461693987921	0.028618710023051983	0.05740248055887909	0.004784538729382228	0.04773396774101296	0.03854790431170388	0.02395120396766279	0.028584595302454305	0	0.009619583666510596	0
k117_51256_4_L-RA	0.0022244302069497203	0	0.004449461824897964	0.12333326697806238	0.12715754623800227	0	0	0.00222374167573376	0.022289384644177127	0.3354626067573036	0.048989494101973494	0.0955526837005364	0.022215208887885182	0.1200105153405558	0	0.0044463457968811375	0.0022213352808961137	0	0.0022282062344172416	0	0	0.0044617234823333555	0.0022186873546827905	0	0	0
